Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
07/01,0.829509853060606,2.75242458686618,2.22535209271957,3.49834391762978
07/02,0.410193026531891,2.75242458686618,1.97660531850201,3.49834391762978
07/03,0.431201729164266,2.75242458686618,1.9889794840835,3.49834391762978
07/06,0.460029668504536,2.75242458686618,2.00595905280687,3.49834391762978
07/07,0.450818311594481,2.75242458686618,2.00052420265349,3.49834391762978
07/08,1.40371116175413,2.75242458686618,2.56045769851903,3.49834391762978
07/09,1.61937788731292,2.75242458686618,2.68706337586011,3.49834391762978
07/10,1.46558759628093,2.75242458686618,2.59679082402255,3.49834391762978
07/13,1.42531715354057,2.75242458686618,2.57314530910224,3.49834391762978
07/14,0.661792249666826,1.89503158168218,2.08110081405106,3.17547838963363
07/15,0.823310322677551,1.89503158168218,2.17994664974674,3.17547838963363
07/16,0.785546464582643,1.89503158168218,2.15681355661592,3.17547838963363
07/17,0.690015427770474,1.89503158168218,2.09828196303037,3.17547838963363
07/20,0.929890601668171,1.89503158168218,2.24522038199941,3.17547838963363
07/21,0.964462783380582,1.89503158168218,2.26638911180872,3.17547838963363
07/22,1.23067232442062,1.89503158168218,2.42910843135762,3.17547838963363
07/23,1.40426565389762,1.89503158168218,2.53526093578424,3.17547838963363
07/24,1.83135931009146,1.89503158168218,2.7961912815667,3.17547838963363
07/27,1.48366639538164,1.89503158168218,2.58379591689637,3.17547838963363
07/28,0.828975059799286,1.89503158168218,2.183254844267,3.17547838963363
07/29,0.673745584901453,1.89503158168218,2.08808040078208,3.17547838963363
07/30,1.14612986253999,1.89503158168218,2.43449996586313,3.00901920430874
07/31,1.00262324740534,1.89503158168218,2.35070447311347,3.00901920430874
08/03,1.06653560026932,1.89503158168218,2.38802862574368,3.00901920430874
08/04,0.529789917546997,1.89503158168218,2.0755673883267,3.00901920430874
08/05,1.0100736012713,1.89503158168218,2.35635745308653,3.00901920430874
08/06,1.03555703225278,1.89503158168218,2.37123512177866,3.00901920430874
08/07,1.12785034240102,1.89503158168218,2.42510757680077,3.00901920430874
08/10,1.15024482521531,1.89503158168218,2.43817708636498,3.00901920430874
08/11,1.18780214013818,1.89503158168218,2.46008096564561,3.00901920430874
08/12,1.14382972090068,1.9127068759925,2.32349514419561,2.90799293260788
08/13,1.12602181237662,1.9127068759925,2.31309490166896,2.90799293260788
08/14,1.04976635247656,1.9127068759925,2.26855332876905,2.90799293260788
08/17,1.08881029951478,1.9127068759925,2.29136061764745,2.90799293260788
08/18,1.15533822466161,1.9127068759925,2.33021607554778,2.90799293260788
08/19,1.15129065898534,1.9127068759925,2.32785264724935,2.90799293260788
08/20,1.15958042627928,1.9127068759925,2.33269372246201,2.90799293260788
08/21,1.22009973066761,1.9127068759925,2.36803209948571,2.90799293260788
08/24,1.22710850612178,1.9127068759925,2.37212422441433,2.90799293260788
08/25,1.14043425929247,1.9127068759925,2.32151251457564,2.90799293260788
08/26,1.03411236239981,1.9127068759925,2.35243678499288,2.99648716459211
08/27,1.00806515085337,1.9127068759925,2.3372867452083,2.99648716459211
08/28,1.07036928543478,1.9127068759925,2.37352310103911,2.99648716459211
08/31,1.05461894146814,1.9127068759925,2.36436330644529,2.99648716459211
09/01,1.10058806420035,1.9127068759925,2.3910972961297,2.99648716459211
09/02,1.24654689514221,1.9127068759925,2.47595039792086,2.99648716459211
09/03,1.2637495593367,1.9127068759925,2.48594858499318,2.99648716459211
